,Country,club,Age,values
0,19,59,21,180.0
1,40,47,24,180.0
2,7,59,24,180.0
3,20,59,25,180.0
4,19,47,24,150.0
5,19,11,22,140.0
6,22,16,21,130.0
7,22,17,21,130.0
8,51,47,28,130.0
9,51,29,17,120.0
10,57,59,26,120.0
11,19,11,25,120.0
12,7,59,23,110.0
13,2,41,26,110.0
14,40,11,25,110.0
15,20,59,21,100.0
16,20,59,24,100.0
17,39,64,25,100.0
18,19,17,30,100.0
19,51,29,19,90.0
20,2,47,24,90.0
21,43,1,25,90.0
22,7,49,26,85.0
23,51,29,21,80.0
24,19,25,22,80.0
25,38,55,21,80.0
26,21,64,23,80.0
27,20,11,23,80.0
28,43,47,27,80.0
29,30,41,27,80.0
30,17,25,22,75.0
31,2,25,23,75.0
32,2,46,25,75.0
33,11,46,27,75.0
34,13,47,22,75.0
35,26,46,23,75.0
36,52,49,24,75.0
37,51,14,22,70.0
38,7,11,23,70.0
39,57,46,25,70.0
40,57,29,25,70.0
41,7,42,26,70.0
42,7,11,26,70.0
43,38,29,27,70.0
44,30,41,25,70.0
45,19,46,25,70.0
46,22,11,25,70.0
47,19,72,27,70.0
48,43,47,29,70.0
49,43,48,29,70.0
50,22,17,28,70.0
51,16,48,21,65.0
52,5,47,22,65.0
53,7,78,26,65.0
54,7,11,27,65.0
55,48,42,24,65.0
56,2,72,26,65.0
57,20,25,26,65.0
58,38,17,24,65.0
59,52,68,26,65.0
60,19,12,28,65.0
61,20,41,26,65.0
62,7,59,18,60.0
63,20,55,18,60.0
64,7,42,27,60.0
65,19,49,23,60.0
66,7,59,26,60.0
67,37,55,25,60.0
68,5,56,24,60.0
69,20,1,26,60.0
70,51,56,26,60.0
71,20,55,27,60.0
72,19,48,26,60.0
73,19,47,28,60.0
74,19,48,19,55.0
75,43,62,19,55.0
76,43,55,22,55.0
77,20,17,22,55.0
78,38,72,23,55.0
79,43,55,24,55.0
80,43,80,24,55.0
81,19,26,26,55.0
82,38,46,25,55.0
83,52,72,24,55.0
84,20,12,25,55.0
85,19,11,26,55.0
86,43,17,29,55.0
87,18,46,32,55.0
88,20,48,18,50.0
89,7,47,20,50.0
90,20,55,21,50.0
91,28,23,19,50.0
92,50,56,21,50.0
93,19,25,21,50.0
94,43,47,25,50.0
95,43,55,23,50.0
96,23,78,23,50.0
97,10,44,24,50.0
98,19,25,24,50.0
99,5,12,22,50.0
100,38,16,23,50.0
101,2,48,26,50.0
102,38,48,23,50.0
103,10,17,23,50.0
104,51,60,25,50.0
105,7,29,27,50.0
106,32,60,23,50.0
107,38,13,26,50.0
108,20,41,28,50.0
109,43,46,27,50.0
110,51,60,28,50.0
111,19,78,27,50.0
112,19,22,28,50.0
113,20,17,28,50.0
114,30,41,26,50.0
115,7,55,30,50.0
116,22,17,29,50.0
117,5,47,33,50.0
118,59,72,23,48.0
119,54,59,19,45.0
120,2,48,20,45.0
121,43,62,20,45.0
122,7,23,22,45.0
123,30,13,20,45.0
124,47,72,21,45.0
125,5,54,21,45.0
126,8,16,25,45.0
127,30,72,21,45.0
128,51,72,24,45.0
129,43,68,22,45.0
130,7,80,25,45.0
131,32,23,27,45.0
132,33,17,27,45.0
133,30,18,22,45.0
134,21,74,23,45.0
135,20,55,25,45.0
136,57,55,23,45.0
137,20,29,25,45.0
138,2,16,25,45.0
139,51,12,27,45.0
140,38,49,24,45.0
141,43,30,24,45.0
142,20,46,25,45.0
143,51,60,27,45.0
144,20,17,25,45.0
145,53,47,29,45.0
146,51,16,28,45.0
147,54,41,30,45.0
148,33,72,32,45.0
149,19,28,22,42.0
150,31,12,26,42.0
151,12,68,20,40.0
152,20,17,19,40.0
153,17,16,22,40.0
154,39,16,23,40.0
155,51,29,20,40.0
156,20,56,21,40.0
157,7,13,25,40.0
158,36,33,23,40.0
159,51,77,23,40.0
160,38,12,22,40.0
161,19,25,24,40.0
162,16,68,25,40.0
163,19,50,24,40.0
164,9,22,24,40.0
165,38,54,25,40.0
166,39,13,26,40.0
